Plot,Stand
YC20:2018,19
YC20:2019,22
YC20:2020,24
YC20:2021,20
YC20:2022,20
YC20:2023,6
YC20:2024,23
YC20:2025,21
YC20:2026,24
YC20:2027,10
YC20:2028,16
YC20:2029,22
YC20:2030,23
YC20:2031,11
YC20:2032,23
YC20:2033,20
YC20:2034,21
YC20:2035,21
YC20:2036,15
YC20:2037,17
YC20:2038,18
YC20:2039,12
YC20:2040,22
YC20:2041,23
YC20:2042,20
YC20:2043,9
YC20:2044,20
YC20:2045,0
YC20:2046,21
YC20:2047,18
YC20:2048,20
YC20:2049,20
YC20:2050,18
YC20:2051,8
YC20:2052,12
YC20:2053,22
YC20:2054,19
YC20:2055,21
YC20:2056,15
YC20:2057,20
YC20:2058,17
YC20:2059,7
YC20:2060,20
YC20:2061,16
YC20:2062,17
YC20:2063,19
YC20:2064,14
YC20:2065,22
YC20:2066,24
YC20:2067,23
YC20:2068,21
YC20:2069,19
YC20:2070,17
YC20:2071,18
YC20:2072,20
YC20:2073,19
YC20:2074,1
YC20:2075,20
YC20:2076,20
YC20:2077,18
YC20:2078,18
YC20:2079,21
YC20:2080,23
YC20:2081,24
YC20:2082,4
YC20:2083,19
YC20:2084,18
YC20:2085,23
YC20:2086,18
YC20:2087,21
YC20:2088,11
YC20:2089,8
YC20:2090,16
YC20:2091,25
YC20:2092,18
YC20:2093,21
YC20:2094,25
YC20:2095,23
YC20:2096,16
YC20:2097,23
YC20:2098,17
YC20:2099,22
YC20:2100,20
YC20:2101,8
YC20:2102,20
YC20:2103,19
YC20:2104,23
YC20:2105,21
YC20:2106,23
YC20:2107,25
YC20:2108,17
YC20:2109,24
YC20:2110,19
YC20:2111,19
YC20:2112,21
YC20:2113,21
YC20:2114,21
YC20:2115,3
YC20:2116,21
YC20:2117,21
YC20:2118,10
YC20:2119,25
YC20:2120,17
YC20:2121,22
YC20:2122,20
YC20:2123,23
YC20:2124,14
YC20:2125,24
YC20:2126,10
YC20:2127,19
YC20:2128,22
YC20:2129,13
YC20:2130,18
YC20:2131,24
YC20:2132,19
YC20:2133,15
YC20:2134,13
YC20:2135,24
YC20:2136,23
YC20:2137,21
YC20:2138,25
YC20:2139,22
YC20:2140,17
YC20:2141,8
YC20:2142,20
YC20:2143,14
YC20:2144,16
YC20:2145,16
YC20:2146,18
YC20:2147,21
YC20:2148,8
YC20:2149,19
YC20:2150,23
YC20:2151,16
YC20:2152,1
YC20:2153,25
YC20:2154,15
YC20:2155,21
YC20:2156,18
YC20:2157,25
YC20:2158,15
YC20:2159,20
YC20:2160,22
YC20:2161,12
YC20:2162,16
YC20:2163,18
YC20:2164,17
YC20:2165,16
YC20:2166,20
YC20:2167,21
YC20:2168,22
YC20:2169,22
YC20:2170,18
YC20:2171,18
YC20:2172,17
YC20:2173,20
YC20:2174,16
YC20:2175,21
YC20:2176,25
YC20:2177,24
YC20:2178,16
YC20:2179,14
YC20:2180,22
YC20:2181,22
YC20:2182,11
YC20:2183,25
YC20:2184,20
YC20:2185,9
YC20:2186,21
YC20:2187,10
YC20:2188,20
YC20:2189,18
YC20:2190,18
YC20:2191,7
YC20:2192,19
