"Plot","430","585","946","1267","1356","1495","1662.5","1812","2031.5","Weeds","Stand","X"
"YC18:1101",0.044458,0.16498,0.69327,0.57485,0.63022,0.7506,0.75465,0.77839,0.73864,"No",23,NA
"YC18:1102",0.049888,0.17486,0.75293,0.64032,0.71201,0.76923,0.75772,0.76241,0.74121,"No",22,NA
"YC18:1103",0.097943,0.28034,0.75341,0.66122,0.66175,0.74297,0.76929,0.73772,0.73509,"No",25,NA
"YC18:1104",0.069046,0.23929,0.76337,0.70999,0.78432,0.78968,0.76888,0.77853,0.79499,"No",25,NA
"YC18:1105",0.022964,0.12585,0.70815,0.70799,0.74965,0.77271,0.75577,0.78495,0.71194,"No",24,NA
"YC18:1106",0.062301,0.22887,0.66542,0.70726,0.78871,0.7919,0.80711,0.83487,0.79747,"No",21,NA
"YC18:1107",0.060142,0.23116,0.75139,0.72406,0.79515,0.79947,0.7726,0.83823,0.79766,"No",25,NA
"YC18:1108",0.10125,0.26492,0.67869,0.67026,0.70839,0.68254,0.72046,0.73324,0.66314,"No",15,NA
"YC18:1109",0.06709,0.27911,0.79519,0.83899,0.84907,0.88034,0.85436,0.93043,0.86324,"No",15,NA
"YC18:1110",0.1156,0.30061,0.80724,0.74613,0.79294,0.83222,0.8223,0.85719,0.8123,"No",15,NA
"YC18:1111",0.11126,0.29629,0.79032,0.73554,0.741,0.757,0.76437,0.76895,0.77944,"No",15,NA
"YC18:1117",0.08285,0.15896,0.61206,0.62337,0.67372,0.72169,0.71979,0.76112,0.75576,"No",15,NA
"YC18:1122",0.13976,0.1582,0.52029,0.53302,0.52867,0.61322,0.66713,0.67837,0.6794,"No",15,NA
"YC18:1124",0.086873,0.24867,0.65654,0.64743,0.62675,0.70124,0.7035,0.74235,0.72219,"No",15,NA
"YC18:1125",0.10443,0.22133,0.62712,0.56218,0.63376,0.71358,0.65737,0.71374,0.58252,"No",15,NA
"YC18:1127",0.12095,0.23107,0.67669,0.55647,0.66418,0.6423,0.62814,0.68008,0.50447,"No",15,NA
"YC18:1128",0.12409,0.20531,0.64667,0.70139,0.67086,0.71908,0.73276,0.76041,0.71149,"No",15,NA
"YC18:1129",0.12555,0.25497,0.70568,0.65752,0.65402,0.73501,0.72891,0.74999,0.65276,"No",15,NA
"YC18:1130",0.09499,0.2284,0.66652,0.66279,0.7124,0.76934,0.78872,0.77509,0.68824,"No",15,NA
"YC18:1132",0.067464,0.20997,0.59402,0.55627,0.57161,0.67497,0.57581,0.68235,0.48296,"No",15,NA
"YC18:1134",0.062427,0.21308,0.65599,0.66822,0.69937,0.75494,0.74004,0.76688,0.60708,"No",15,NA
"YC18:1135",0.10678,0.23608,0.72795,0.66836,0.65722,0.72356,0.73605,0.71634,0.67105,"No",15,NA
"YC18:1136",0.086789,0.19273,0.74419,0.69182,0.69531,0.73743,0.74823,0.7377,0.68747,"No",15,NA
"YC18:1145",0.073232,0.23522,0.61,0.59562,0.64239,0.67269,0.65463,0.65911,0.58024,"No",19,NA
"YC18:1146",0.074075,0.25609,0.73052,0.69327,0.69476,0.71829,0.7243,0.72132,0.71038,"No",22,NA
"YC18:1155",0.18177,0.24564,0.74949,0.76111,0.743,0.78888,0.80776,0.81912,0.79056,"No",27,NA
"YC18:1156",0.22057,0.22267,0.70424,0.68521,0.70106,0.74927,0.72373,0.82918,0.64061,"No",23,NA
"YC18:1157",0.079163,0.20137,0.6436,0.66498,0.70546,0.74355,0.72624,0.77459,0.70072,"No",25,NA
"YC18:1158",0.093142,0.24525,0.67011,0.65087,0.69226,0.74762,0.71967,0.79969,0.66912,"No",25,NA
"YC18:1160",0.15265,0.30891,0.7375,0.70343,0.75652,0.75842,0.72188,0.79487,0.73373,"No",26,NA
"YC18:1161",0.111,0.27479,0.69851,0.74598,0.71358,0.7825,0.7674,0.81196,0.75136,"No",25,NA
"YC18:1162",0.1041,0.2594,0.61856,0.6305,0.63412,0.72468,0.77901,0.75184,0.7038,"No",20,NA
"YC18:1163",0.088529,0.21315,0.65785,0.67037,0.68498,0.78144,0.76961,0.80704,0.75206,"No",26,NA
"YC18:1164",0.12494,0.16605,0.59695,0.63155,0.66738,0.70964,0.72335,0.80266,0.67381,"No",19,NA
