Fields,BoundingBox,X,Y,left,top,right,bottom,id
51,"[-93.1753519106195,44.9930097409820;-93.1752769106195,44.9930157409820]","[-93.1753519106195,-93.1752769106195,-93.1752769106195,-93.1753519106195,-93.1753519106195,NaN]","[44.9930157409820,44.9930157409820,44.9930097409820,44.9930097409820,44.9930157409820,NaN]",66,-93.17545154,44.99303467,-93.17537654,44.99302867
52,"[-93.1753506082578,44.9930033283307;-93.1752756082578,44.9930093283307]","[-93.1753506082578,-93.1752756082578,-93.1752756082578,-93.1753506082578,-93.1753506082578,NaN]","[44.9930093283307,44.9930093283307,44.9930033283307,44.9930033283307,44.9930093283307,NaN]",67,-93.17545154,44.99302867,-93.17537654,44.99302267
53,"[-93.1753521607676,44.9929960019255;-93.1752771607676,44.9930020019255]","[-93.1753521607676,-93.1752771607676,-93.1752771607676,-93.1753521607676,-93.1753521607676,NaN]","[44.9930020019255,44.9930020019255,44.9929960019255,44.9929960019255,44.9930020019255,NaN]",68,-93.17545154,44.99302267,-93.17537654,44.99301667
54,"[-93.1753518162858,44.9929894539011;-93.1752768162858,44.9929954539011]","[-93.1753518162858,-93.1752768162858,-93.1752768162858,-93.1753518162858,-93.1753518162858,NaN]","[44.9929954539011,44.9929954539011,44.9929894539011,44.9929894539011,44.9929954539011,NaN]",69,-93.17545154,44.99301667,-93.17537654,44.99301067
55,"[-93.1753520447997,44.9929824920105;-93.1752770447997,44.9929884920105]","[-93.1753520447997,-93.1752770447997,-93.1752770447997,-93.1753520447997,-93.1753520447997,NaN]","[44.9929884920105,44.9929884920105,44.9929824920105,44.9929824920105,44.9929884920105,NaN]",70,-93.17545154,44.99301067,-93.17537654,44.99300467
56,"[-93.1753508437647,44.9929761469111;-93.1752758437647,44.9929821469111]","[-93.1753508437647,-93.1752758437647,-93.1752758437647,-93.1753508437647,-93.1753508437647,NaN]","[44.9929821469111,44.9929821469111,44.9929761469111,44.9929761469111,44.9929821469111,NaN]",71,-93.17545154,44.99300467,-93.17537654,44.99299867
57,"[-93.1753529178011,44.9929701507182;-93.1752779178011,44.9929761507182]","[-93.1753529178011,-93.1752779178011,-93.1752779178011,-93.1753529178011,-93.1753529178011,NaN]","[44.9929761507182,44.9929761507182,44.9929701507182,44.9929701507182,44.9929761507182,NaN]",72,-93.17545154,44.99299867,-93.17537654,44.99299267
58,"[-93.1753539549036,44.9929632387382;-93.1752789549036,44.9929692387382]","[-93.1753539549036,-93.1752789549036,-93.1752789549036,-93.1753539549036,-93.1753539549036,NaN]","[44.9929692387382,44.9929692387382,44.9929632387382,44.9929632387382,44.9929692387382,NaN]",73,-93.17545154,44.99299267,-93.17537654,44.99298667
59,"[-93.1753521550059,44.9929565466345;-93.1752771550059,44.9929625466345]","[-93.1753521550059,-93.1752771550059,-93.1752771550059,-93.1753521550059,-93.1753521550059,NaN]","[44.9929625466345,44.9929625466345,44.9929565466345,44.9929565466345,44.9929625466345,NaN]",74,-93.17545154,44.99298667,-93.17537654,44.99298067
60,"[-93.1753513040549,44.9929494739223;-93.1752763040549,44.9929554739223]","[-93.1753513040549,-93.1752763040549,-93.1752763040549,-93.1753513040549,-93.1753513040549,NaN]","[44.9929554739223,44.9929554739223,44.9929494739223,44.9929494739223,44.9929554739223,NaN]",75,-93.17545154,44.99298067,-93.17537654,44.99297467
