Plot,Stand
YC19:2080,18
YC19:2081,25
YC19:2082,17
YC19:2083,21
YC19:2084,22
YC19:2085,16
YC19:2086,21
YC19:2087,20
YC19:2088,16
YC19:2089,18
YC19:2090,18
YC19:2091,21
YC19:2092,22
YC19:2093,20
YC19:2094,20
YC19:2095,16
YC19:2096,22
YC19:2097,15
YC19:2098,23
YC19:2099,18
YC19:2100,20
YC19:2101,22
YC19:2102,20
YC19:2103,15
YC19:2104,7
YC19:2105,14
YC19:2106,18
YC19:2107,21
YC19:2108,21
YC19:2109,17
YC19:2110,16
YC19:2111,14
YC19:2112,22
YC19:2113,20
YC19:2114,22
YC19:2115,25
YC19:2116,21
YC19:2117,22
YC19:2118,9
YC19:2119,22
YC19:2120,24
YC19:2121,23
YC19:2122,21
YC19:2123,18
YC19:2124,21
YC19:2125,27
YC19:2126,23
YC19:2127,22
YC19:2128,23
YC19:2129,19
YC19:2130,11
YC19:2131,19
YC19:2132,13
YC19:2133,15
YC19:2134,8
YC19:2135,9
YC19:2136,24
YC19:2137,20
YC19:2138,20
YC19:2139,20
YC19:2140,22
YC19:2141,9
YC19:2142,24
YC19:2143,10
YC19:2144,10
YC19:2145,19
YC19:2146,22
YC19:2147,20
YC19:2148,13
YC19:2149,21
YC19:2150,16
YC19:2151,20
YC19:2152,23
YC19:2153,20
YC19:2154,21
YC19:2155,17
YC19:2156,18
YC19:2157,19
YC19:2158,25
YC19:2159,20
YC19:2160,21
YC19:2161,21
YC19:2162,20
YC19:2163,13
YC19:2164,24
YC19:2165,19
YC19:2166,27
YC19:2167,22
YC19:2168,18
YC19:2169,20
YC19:2170,17
YC19:2171,22
YC19:2172,22
YC19:2173,23
YC19:2174,25
YC19:2175,21
YC19:2176,21
YC19:2177,20
YC19:2178,23
YC19:2179,24
YC19:2180,18
YC19:2181,22
YC19:2182,22
YC19:2183,24
YC19:2184,18
YC19:2185,22
YC19:2186,23
YC19:2187,27
YC19:2188,20
YC19:2189,22
YC19:2190,18
YC19:2191,23
YC19:2192,22
YC19:2193,23
YC19:2194,21
YC19:2195,21
YC19:2196,22
YC19:2197,18
YC19:2198,4
YC19:2199,24
YC19:2200,27
YC19:2201,17
YC19:2202,17
YC19:2203,22
YC19:2204,20
YC19:2205,24
YC19:2206,22
YC19:2207,22
YC19:2208,17
YC19:2209,20
YC19:2210,23
YC19:2211,26
YC19:2212,24
YC19:2213,20
YC19:2214,25
YC19:2215,23
YC19:2216,18
YC19:2217,25
YC19:2218,18
YC19:2219,24
YC19:2220,26
YC19:2221,19
YC19:2222,23
YC19:2223,17
YC19:2224,22
YC19:2225,18
YC19:2226,19
YC19:2227,20
YC19:2228,19
YC19:2229,19
YC19:2230,23
YC19:2231,25
YC19:2232,27
YC19:2233,23
YC19:2234,18
YC19:2235,24
YC19:2236,16
YC19:2237,18
YC19:2238,18
YC19:2239,18
YC19:2240,16
YC19:2241,21
YC19:2242,23
YC19:2243,24
YC19:2244,25
YC19:2245,14
YC19:2246,24
YC19:2247,17
YC19:2248,18
YC19:2249,24
YC19:2250,16
YC19:2251,24
YC19:2252,25
YC19:2253,22
YC19:2254,24
YC19:2255,24
YC19:2256,25
YC19:2257,26
YC19:2258,25
YC19:2259,22
YC19:2260,23
YC19:2261,22
YC19:2262,17
YC19:2263,24
YC19:2264,24
YC19:2265,21
YC19:2266,25
YC19:2267,22
YC19:2268,17
YC19:2269,27
YC19:2270,20
YC19:2271,22
YC19:2272,22
YC19:2273,21
YC19:2274,17
YC19:2275,23
YC19:2276,12
YC19:2277,20
YC19:2278,25
YC19:2279,21
YC19:2280,24
YC19:2281,25
YC19:2282,25
YC19:2283,22
YC19:2284,20
YC19:2285,5
YC19:2286,27
YC19:2287,21
YC19:2288,16
YC19:2289,23
YC19:2290,24
YC19:2291,20
YC19:2292,20
YC19:2293,16
YC19:2294,23
YC19:2295,19
YC19:2296,25
YC19:2297,17
YC19:2298,22
YC19:2299,25
YC19:2300,19
YC19:2301,25
YC19:2302,27
YC19:2303,18
YC19:2304,24
YC19:2305,9
YC19:2306,15
YC19:2307,22
YC19:2308,20
YC19:2309,15
YC19:2310,24
YC19:2311,19
YC19:2312,13
YC19:2313,24
YC19:2314,23
YC19:2315,15
YC19:2316,26
YC19:2317,18
YC19:2318,25
YC19:2319,24
YC19:2320,27
YC19:2321,24
YC19:2322,21
YC19:2323,20
YC19:2324,18
YC19:2325,25
YC19:2326,18
YC19:2327,26
YC19:2328,26
YC19:2329,25
YC19:2330,26
YC19:2331,25
YC19:2332,26
YC19:2333,19
YC19:2334,13
YC19:2335,20
YC19:2336,20
YC19:2337,25
YC19:2338,20
YC19:2339,25
YC19:2340,24
YC19:2341,13
YC19:2342,15
YC19:2343,19
YC19:2344,22
YC19:2345,26
YC19:2346,20
YC19:2347,25
YC19:2348,26
YC19:2349,23
YC19:2350,17
YC19:2351,20
YC19:2352,25
YC19:2353,25
YC19:2354,21
YC19:2355,22
YC19:2356,24
YC19:2357,19
YC19:2358,25
YC19:2359,23
YC19:2360,22
YC19:2361,25
YC19:2362,19
YC19:2363,22
YC19:2364,21
YC19:2365,25
YC19:2366,22
YC19:2367,10
YC19:2368,14
YC19:2369,21
YC19:2370,21
YC19:2371,24
YC19:2372,22
YC19:2373,9
YC19:2374,14
YC19:2375,25
YC19:2376,19
YC19:2377,22
YC19:2378,26
YC19:2379,16
YC19:2380,26
YC19:2381,20
YC19:2382,27
YC19:2383,21
YC19:2384,11
YC19:2385,14
YC19:2386,22
YC19:2387,10
YC19:2388,26
YC19:2389,20
YC19:2390,26
YC19:2391,21
YC19:2392,22
YC19:2393,19
YC19:2394,25
YC19:2395,24
YC19:2396,11
YC19:2397,25
YC19:2398,23
YC19:2399,18
YC19:2400,14
YC19:2401,22
YC19:2402,22
YC19:2403,19
YC19:2404,26
YC19:2405,22
YC19:2406,26
YC19:2407,20
YC19:2408,25
YC19:2409,27
YC19:2410,27
YC19:2411,22
YC19:2412,27
YC19:2413,24
YC19:2414,19
YC19:2415,19
